€595,000 	 9 The Avenue, Station Manor, Portmarnock, County Dublin
€265,000 	 9 Holywell Meadow, Swords, Dublin
€390,000 	 31 Abbeyvale Court, Swords, Co Dublin K67A6K6
€690,000 	 17 The Crescent, Robswall, Malahide, Co Dublin K36 VP65
€375,000  €5,000 on 29th Aug 19 	 Glenveagh Knightsgate, Rush, County Dublin
€410,000 	 25 Kelly's Bay Promenade, Skerries, Dublin
€249,950 	 58 Churchwell Drive, Belmayne, Balgriffin, Dublin 13
€450,000 	 Cairn Burn Lodge, Spricklestown Lane, The Ward, Dublin
€1,800,000 	 Fairacre, Swords Road, Malahide, County Dublin
€160,000 	 83 Turvey Woods, Donabate, Dublin
€525,000 	 Waterside, Malahide,   County Dublin
€539,000 	 102 Ardilaun, Portmarnock, County Dublin
€495,000 	 13 Baldoyle Road, Sutton, Dublin 13, D13 P6H0
POA 	 Dún Na Rí, Malahide, County Dublin
€385,000  -€30,000 on 19th Nov 19 	 Tobertown, Naul, County Dublin
€720,000  -€15,000 on 5th Nov 19 	 224 Seapark, Malahide, County Dublin
€580,000 	 23 The Terrace, Robswall, Malahide, County Dublin
€1,600,000 	 Castledowns, Back Road, Malahide,   County Dublin
€210,000 	 7 Oulart, Swords,   County Dublin
€575,000 	 4 St Sylvester Villas, The Hill, Malahide, Co Dublin K36 Y306
€350,000 	 6 Asgard Apartments, Howth, Co Dublin D13 CK24
